sn,symbol,ltp,point change,change,open,high,low,volume,close
203,PHCL,312.00,-16.00,-4.88,328.00,360.80,312.00,"96,281.00",328.00
204,PMHPL,239.80,14.80,6.58,228.70,245.00,225.20,"90,401.00",225.00
205,PMLI,557.00,-22.00,-3.80,567.50,579.00,556.70,"13,668.00",579.00
206,PPCL,231.00,0.00,0.00,235.60,241.90,227.30,"80,222.00",231.00
207,PPL,277.00,0.00,0.00,282.50,290.00,268.00,"52,335.00",277.00
208,PRIN,851.90,-23.10,-2.64,874.00,874.00,850.10,"31,195.00",875.00
209,PROFL,304.00,-2.00,-0.65,306.00,312.00,301.00,"22,240.00",306.00
210,PRSF,8.89,0.00,0.00,9.00,9.06,8.89,"1,600.00",8.89
211,PRVU,160.10,-2.30,-1.42,162.10,164.00,160.00,"139,715.00",162.40
212,PSF,8.19,-0.28,-3.31,8.45,8.45,8.19,"108,340.00",8.47
213,RADHI,243.10,2.90,1.21,244.00,250.70,243.10,"80,114.00",240.20
214,RAWA,422.00,-17.00,-3.87,447.70,450.80,416.50,"40,592.00",439.00
215,RBCL,"14,005.00",-295.00,-2.06,"14,500.00","14,540.00","14,000.00",305.00,"14,300.00"
216,RBCLPO,"11,617.00",-228.00,-1.92,"11,950.00","11,950.00","11,617.00",170.00,"11,845.00"
217,RFPL,273.00,6.00,2.25,272.30,293.70,272.30,"87,651.00",267.00
218,RHGCL,262.00,-4.00,-1.50,260.80,277.00,260.80,"17,106.00",266.00
219,RHPL,287.00,2.00,0.70,290.70,305.50,284.50,"108,070.00",285.00
220,RIDI,229.50,8.50,3.85,225.00,238.50,225.00,"184,675.00",221.00
221,RLFL,351.00,-18.20,-4.93,367.00,367.00,351.00,"28,955.00",369.20
222,RMF1,7.80,-0.21,-2.62,7.85,7.95,7.80,"14,300.00",8.01
223,RMF2,8.25,0.03,0.36,8.12,8.37,8.12,"2,100.00",8.22
224,RNLI,535.00,-10.10,-1.85,534.20,544.90,531.10,"125,364.00",545.10
225,RSDC,530.00,-4.00,-0.75,525.10,540.80,525.00,"7,257.00",534.00
226,RURU,720.00,-2.00,-0.28,715.20,728.00,713.30,"1,324.00",722.00
227,SABSL,606.00,-12.00,-1.94,618.00,621.00,606.00,"2,703.00",618.00
228,SADBL,302.00,1.60,0.53,306.00,306.40,297.00,"20,707.00",300.40
229,SAEF,9.99,-0.01,-0.10,9.81,9.99,9.52,"110,832.00",10.00
230,SAGF,8.95,-0.15,-1.65,8.95,8.95,8.95,900.00,9.10
231,SAHAS,530.00,9.00,1.73,522.00,539.90,521.30,"90,773.00",521.00
232,SALICO,708.00,-8.70,-1.21,727.00,727.00,699.90,"15,483.00",716.70
233,SAMAJ,231.70,17.40,8.12,218.50,231.70,218.50,40.00,214.30
234,SANIMA,244.20,-6.80,-2.71,251.90,251.90,244.20,"63,928.00",251.00
235,SAPDBL,240.00,-4.00,-1.64,242.00,244.00,237.30,"12,468.00",244.00
236,SBCF,8.01,0.15,1.91,7.71,8.01,7.71,"11,800.00",7.86
237,SBI,294.00,-6.00,-2.00,300.00,300.00,291.10,"28,575.00",300.00
238,SBL,244.50,-8.50,-3.36,258.00,258.00,243.20,"97,843.00",253.00
239,SCB,508.00,-8.00,-1.55,515.00,524.00,508.00,"28,156.00",516.00
240,SDBD87,874.00,0.00,0.00,874.00,874.00,874.00,20.00,874.00
241,SDLBSL,606.00,11.00,1.85,595.00,606.90,595.00,"1,549.00",595.00
242,SEF,8.48,0.16,1.92,8.16,8.48,7.93,"7,675.00",8.32
243,SFCL,288.10,-4.90,-1.67,295.00,295.00,288.00,"26,525.00",293.00
244,SFEF,8.70,-0.10,-1.14,8.65,8.75,8.65,"1,400.00",8.80
245,SFMF,9.69,0.02,0.21,9.84,9.84,9.65,"76,075.00",9.67
246,SGHC,297.00,7.00,2.41,290.00,307.70,287.00,"45,081.00",290.00
247,SGIC,535.00,-17.00,-3.08,541.00,558.00,531.00,"66,468.00",552.00
248,SHEL,223.10,20.20,9.96,206.90,223.10,206.90,"8,590.00",202.90
249,SHINE,381.90,-2.10,-0.55,390.00,390.00,380.00,"65,641.00",384.00
250,SHIVM,514.10,-19.00,-3.56,543.70,543.70,514.00,"218,900.00",533.10
251,SHL,453.10,-3.60,-0.79,454.00,465.00,450.00,"122,112.00",456.70
252,SHLB,880.20,-5.10,-0.58,900.00,904.00,880.20,571.00,885.30
253,SHPC,353.10,-5.90,-1.64,362.00,365.00,351.30,"51,394.00",359.00
254,SICL,731.10,-9.30,-1.26,734.00,745.00,730.00,"14,111.00",740.40
255,SIFC,352.00,-10.00,-2.76,361.90,362.00,348.00,"4,667.00",362.00
256,SIGS2,8.58,0.32,3.87,8.10,8.58,7.85,"72,050.00",8.26
